headline,category,authors,date
Western Officials Pledge To Support Ukraine As Russia Says It Should Be Dismembered,POLITICS,Akbar Shahid Ahmed,2022-02-21
White House Won’t Say If Russian Movements Into Donbas Will Trigger Massive Sanctions,POLITICS,S.V. Date,2022-02-21
Speedskater Bart Swings Accomplishes An Olympics First For Belgium,SPORTS,Ron Dicker,2022-02-19
High Winds Cause Chaos On Penultimate Day Of Winter Olympics,SPORTS,"JAKE SEINER, AP",2022-02-19
Court To Weigh In On Trump Policy Forcing Asylum-Seekers To Wait In Mexico,POLITICS,"MARK SHERMAN, AP",2022-02-18
Biden Signs Stopgap Spending Bill Averting Government Shutdown,POLITICS,"ZEKE MILLER and ALAN FRAM, AP",2022-02-18
MLB Cancels Spring Games Through March 4 Due To Lockout,SPORTS,"Ronald Blum, AP",2022-02-18
"Elizabeth Warren Wants Stock Trading Ban For State Lawmakers, Other Elected Officials, Too",POLITICS,Nick Visser,2022-02-17
Ex-NYT Columnist Nicholas Kristof Ineligible To Run For Governor,POLITICS,Zahara Hill,2022-02-17
House GOP Targets D.C. Home Rule Amid Statehood Push,POLITICS,Paul Blumenthal and Travis Waldron,2022-02-16
Olympic Snowboarder Roars Back From Injury With Some Big-Cat Energy,SPORTS,"JAKE SEINER, AP",2022-02-16
Mikaela Shiffrin Sets Fastest Time In Downhill Training Session,SPORTS,"DANIELLA MATAR, AP",2022-02-16
Mikaela Shiffrin Jokes About Going Through With ‘A Really Bad Idea’ In Beijing,SPORTS,"HOWARD FENDRICH, AP",2022-02-15
"Alexandria Ocasio-Cortez Calls Congress’ Inner Workings A ‘Shit Show,’ But Hopes For Change",POLITICS,Nick Visser,2022-02-15
"Biden Keeps Up Pressure On Putin To Pull Back Russian Troops, End Ukraine Crisis",POLITICS,S.V. Date,2022-02-15
"NYC Fires More Than 1,000 Workers Over Vaccine Mandate",POLITICS,"Michelle L. Price, AP",2022-02-14
Rudy Giuliani Reportedly In Talks To Testify Before Jan. 6 Committee,POLITICS,Mary Papenfuss,2022-02-13
Erin Jackson Makes History With Speedskating Gold Medal Win For U.S.,SPORTS,"Paul Newberry, AP",2022-02-13
Faith Leaders Demand NFL Move Next Super Bowl From Arizona For 'Racist' Vote Crackdown,SPORTS,Mary Papenfuss,2022-02-13
Rams Legend Eric Dickerson Rejects Super Bowl Tickets 'In The Rafters',SPORTS,Ron Dicker,2022-02-13
'Our Jaws Hit The Floor' Over Trump's Recklessness With Classified Info: Ex-Aide,POLITICS,Mary Papenfuss,2022-02-12
Odell Beckham Jr. ‘On Standby’ For Baby News During Super Bowl 2022,SPORTS,Ron Dicker,2022-02-12
Officer Placed On Leave After Viral Video Shows Him Choking Black Purdue Student,POLITICS,Phillip Jackson,2022-02-12
Gold-Winning Canadian Snowboarder Cops To Error That Wasn't Spotted By Judges,SPORTS,"EDDIE PELLS, AP",2022-02-12
"GOP Pundits, Naturally, Are Championing The Canadian Trucker Protest",POLITICS,"David Bauder, AP",2022-02-11
Urgent Doping Hearing To Decide Russian Figure Skater's Olympic Fate,SPORTS,"GRAHAM DUNBAR and JAMES ELLINGWORTH, AP",2022-02-11
Sen. Alex Padilla Calls Out GOP Colleagues For Racist Treatment Of Biden’s Court Picks,POLITICS,Jennifer Bendery,2022-02-10
Athletes Are Taping Their Faces At Winter Olympics But Maybe They Shouldn't,SPORTS,Ron Dicker,2022-02-10
Biden Administration Slaps Down ‘Crack Pipe’ Funding After Right-Wing Misinformation Spree,POLITICS,Philip Lewis,2022-02-09
Ohio Mayor Says Ice Fishing Leads To Prostitution,POLITICS,Liz Skalka,2022-02-09
New Jersey Lifting School Mask Mandate In March,POLITICS,Lydia O'Connor,2022-02-07
White House Looks At Ways To Reverse Decline In Union Membership,POLITICS,Dave Jamieson,2022-02-07
UN Ambassador: China Had Uyghur Athlete Be Olympic Torchbearer To Distract From Genocide,POLITICS,Sanjana Karanth,2022-02-07
Ted Cruz Throws In With Anti-Vaccine Ottawa Trucker Mob As City Declares Emergency,POLITICS,Mary Papenfuss,2022-02-07
Canadian Anti-Vax Trucker 'Siege' Hit With Multimillion-Dollar Lawsuit,POLITICS,Mary Papenfuss,2022-02-06
Gov. Ron DeSantis Going After GoFundMe For Dumping Anti-Vaccine Ottawa Truckers,POLITICS,Mary Papenfuss,2022-02-06
Watch 15-Year-Old Skater Kamila Valieva Pull Off A Winter Olympics Stunner In Team Event,SPORTS,Ron Dicker,2022-02-06
Biden Isn’t The First President To Consider Diversity When Picking A SCOTUS Nominee,POLITICS,Paul Blumenthal,2022-02-05
Engaged Hockey Star And Bobsledder Reunite At Winter Olympics — After 3 Months Apart,SPORTS,Ron Dicker,2022-02-05
Nathan Chen Brings His A-Game In First Skate At Beijing Winter Olympics,SPORTS,Ron Dicker,2022-02-04
People Are Obsessed With 1 Part Of The Canada Winter Olympic Team's Outfit,SPORTS,Lee Moran,2022-02-04
U.S. Skier River Radamus Posts Sweet Message To His Mom As 2022 Olympics Kick Off,SPORTS,Carly Ledbetter,2022-02-04
"2 Of Ahmaud Arbery’s Killers Withdraw Guilty Pleas, Will Face Federal Hate Crime Trial",CRIME,Phillip Jackson,2022-02-04
Olympian Released From Beijing Isolation Facility After Emotional Video Plea,SPORTS,"TIM REYNOLDS, AP",2022-02-03
Conservative Pundit Warns Just How Unhinged A Second Donald Trump Presidency Could Be,POLITICS,Lee Moran,2022-02-03
Biden Aims To Reduce Cancer Deaths By 50% Over Next 25 Years,POLITICS,"JOSH BOAK, AP",2022-02-02
GOP Rep Slams Sen. Josh Hawley As 'One Of The Worst Human Beings',POLITICS,David Moye,2022-02-02
Tucker Carlson Reportedly Donated To Marjorie Taylor Greene's Reelection Campaign,POLITICS,David Moye,2022-02-02
"Sen. Ben Ray Luján Suffers Stroke, Expected To Make 'Full Recovery'",POLITICS,"Farnoush Amiri, AP",2022-02-01
Liz Cheney: Trump’s Latest Jan. 6 Comments Show He ‘Would Do This All Again’,POLITICS,Sanjana Karanth,2022-02-01
Federal Judge Rejects Plea Deal For Man Who Killed Ahmaud Arbery After Family Outrage,CRIME,Phillip Jackson,2022-01-31
Bill Cosby Asks Supreme Court Not To Revive Sexual Assault Case,CRIME,"Maryclaire Dale, AP",2022-01-31
Joe Burrow Blasted For 'Distasteful' Joke About His Diamond Necklace,SPORTS,Ron Dicker,2022-01-31
Rafael Nadal Wins Australian Open For Record 21st Major Title,SPORTS,"John Pye, AP",2022-01-30
Winter Olympics Mascots Through The Years,SPORTS,"The Associated Press, AP",2022-01-29
Candace Owens Pitches A Fit Over Minnie Mouse Wearing Pants,POLITICS,Mary Papenfuss,2022-01-29
Ex-GOP Rep. Suggests Dangerous 'Wedge Issue' Between Donald Trump And Ron DeSantis,POLITICS,Lee Moran,2022-01-29
Democratic Candidate Evokes Slain Journalist Daughter As His ‘Running Mate’ In Powerful Ad,POLITICS,Lee Moran,2022-01-28
A Hard-Right Republican And A Progressive Debated. It Went As Well As You'd Expect.,POLITICS,Liz Skalka,2022-01-28
Sen. Ron Johnson Is Betting On Conspiracy Theories For Reelection,POLITICS,Tara Golshan,2022-01-28
‘Quick Reaction Forces’ And The Lingering Mysteries Of The Plot Against The Capitol,POLITICS,Ryan J. Reilly,2022-01-28
Florida's 'Don't Say Gay' Bill Aims To Limit LGBTQ Discussions In Schools,POLITICS,"ANTHONY IZAGUIRRE and LINDSAY WHITEHURST, AP",2022-01-27
Sen. Ron Johnson's Latest COVID Conspiracy: Athletes 'Dropping Dead' From Vaccines,POLITICS,Tara Golshan,2022-01-27
Eric Trump's Oblivious Boast About His Father Gets A Brutal Fact-Check,POLITICS,Ed Mazza,2022-01-26
Anatomy Of A GOP Non-Scandal,POLITICS,Liz Skalka,2022-01-26
Whoopi Goldberg Slams Bill Maher’s ‘Flippant’ COVID-19 Commentary,POLITICS,Lee Moran,2022-01-25
Florida Sen. Rick Scott Touts Infrastructure Funding He Voted Against,POLITICS,Igor Bobic,2022-01-25
Tom Brady Bleeds In Playoff Defeat And Twitter's Sharks Come For Him,SPORTS,Ron Dicker,2022-01-24
Aaron Rodgers Rips Joe Biden And 'Fake White House' In Anti-Vax Rant,POLITICS,Ron Dicker,2022-01-24
"Stocks Climb Back After Steep Slide On Fed, Ukraine Jitters",BUSINESS,"DAMIAN J. TROISE and ALEX VEIGA, AP",2022-01-24
Peter Navarro Claims He Saw 'Nothing But Peaceful People' On Insurrection Day,POLITICS,Mary Papenfuss,2022-01-22
"Trump Trolled Over Ron DeSantis Threat In Taunting ‘What’s The Matter, Donald?’ Ad",POLITICS,Lee Moran,2022-01-22
"Sen. Josh Hawley Says, Without Irony, That Democrats Don't Accept Elections They Lose",POLITICS,Josephine Harvey,2022-01-21
Mitch McConnell Actually Just Suggested That 'American' Means 'Not Black',POLITICS,Sara Boboltz,2022-01-21
Republican Group Torches Kevin McCarthy Over Jan. 6 In Scathing Ad Campaign,POLITICS,Ed Mazza,2022-01-21
CIA Says Most 'Havana Syndrome' Cases Likely Not Caused By Foreign Powers,POLITICS,Sara Boboltz,2022-01-20
William Barr’s New Book Title Has Twitter Wits Filling In The Blanks,POLITICS,Lee Moran,2022-01-19
Rudy Giuliani Among Trump Allies Subpoenaed By Jan. 6 Panel,POLITICS,"FARNOUSH AMIRI, AP",2022-01-18
They Rejected Democracy. They Lied. Now The GOP Is Hailing Martin Luther King's Legacy.,POLITICS,Jennifer Bendery,2022-01-18
Some QAnon Believers Think JFK Disguised Himself As Trump At Arizona Rally,POLITICS,David Moye,2022-01-17
"Florida Gay Rights Activist Found Dead In Landfill, Prompting Homicide Probe",CRIME,Nina Golgowski,2022-01-16
"Alexandria Ocasio-Cortez Says 'COVID Was No Joke,' Shares Photos After Recovery",POLITICS,Josephine Harvey,2022-01-16
Eric Swalwell Rips Steve Bannon's New Call To 'Decertify' Biden As Democracy's 'Endgame',POLITICS,Mary Papenfuss,2022-01-16
CNN Unearths Audio Of Kevin McCarthy Saying Trump Admitted Responsibility For Riot,POLITICS,Lee Moran,2022-01-15
A Key Fox News Talking Point Awkwardly Falls Apart In Embarrassing Supercut,POLITICS,Lee Moran,2022-01-15
All Hostages Safe After Hours-Long Standoff At Texas Synagogue,CRIME,Sara Boboltz and Mary Papenfuss,2022-01-15
Texas Attorney General Ordered To Release Records About His Role In Jan. 6 Rally,POLITICS,Mary Papenfuss,2022-01-15
"RNC Ripped, Ridiculed Over Presidential Debate Ban Threat",POLITICS,Lee Moran,2022-01-14
"Laura Ingraham Feared More Violence After Jan. 6, Newly Released Text Message Shows",POLITICS,Lee Moran,2022-01-13
Jan. 6 Committee Asks House GOP Leader Kevin McCarthy To Testify,POLITICS,S.V. Date,2022-01-12
Dick Durbin To GOP: Our Turn To Confirm Judicial Nominees Without Your Consent,POLITICS,Jennifer Bendery,2022-01-12
Marsha Blackburn Criticizes Black Judicial Nominee’s ‘Rap Sheet’ Of Speeding Tickets,POLITICS,Jennifer Bendery,2022-01-12
Top House Democrat Wants Maskless Lawmakers Put In 'Isolation Boxes',POLITICS,Lee Moran,2022-01-12
Mitch McConnell Told To 'Save The Damn Crocodile Tears' After Whining About Voting,POLITICS,Lee Moran,2022-01-11
Fox News Host Has Some Blunt Talk For Trump: 'You Have To Learn To Lose',POLITICS,Ed Mazza,2022-01-10
"Mike Pence Will Likely Need Subpoena Before He'll Talk To Jan. 6 Committee, Says Ex-Aide",POLITICS,Mary Papenfuss,2022-01-09
Wisconsin Republican Sen. Ron Johnson Will Run For Reelection,POLITICS,Tara Golshan,2022-01-09
"The Best And Worst Trump Tweets Over The Past Year, Ranked",POLITICS,"Amanda Terkel, Paige Lavender, Richard Kim, and George Zornick",2022-01-09
Ted Cruz's Own Words About Jan. 6 Come Back To Haunt Him In Damning Supercut,POLITICS,Lee Moran,2022-01-08
Kanye West Grabs A Bite With Pal Jared Kushner In Miami,POLITICS,Mary Papenfuss,2022-01-08
Rep. Mo Brooks Reportedly 'Cheered' Capitol Riot As Colleagues Feared For Their Lives,POLITICS,Mary Papenfuss,2022-01-08
Parents In Michigan School Shooting Lose Bid To Reduce Bail,CRIME,"Ed White, AP",2022-01-07
Critics Sum Up Laura Ingraham's Latest Joe Biden Attack In 1 Mocking Word,POLITICS,Lee Moran,2022-01-06
'QAnon Shaman' Makes Bonkers New Claim About What He Was Really Doing On Jan. 6,POLITICS,Ed Mazza,2022-01-06
Lauren Boebert Self-Owns With Rant About ‘Gaslighters’,POLITICS,Lee Moran,2022-01-05
"A Year Later, GOP Lawmakers Still Won't Say If Joe Biden Is Actually President",POLITICS,Jennifer Bendery,2022-01-05
The FBI's Secret Weapon In The Capitol Attack Manhunt,POLITICS,Ryan J. Reilly,2022-01-05
"Trump Was Just '5 Rudys Short' Of A Coup, Warns Conservative Website Column",POLITICS,Mary Papenfuss,2022-01-04
Lauren Boebert Jumps To Marjorie Taylor Greene’s Defense Over Twitter Ban And It Doesn’t Go Well,POLITICS,Lee Moran,2022-01-04
Deputy District Attorney Who Opposed Vaccine Mandates Dies From COVID At 46,POLITICS,Lee Moran,2022-01-04
LeBron James Dishes On His Dream To One Day Play In The NBA With His Son,SPORTS,Kimberley Richards,2022-01-04
Capitol Riot A Distant Memory In The Senate: Seems 'As If It Never Happened',POLITICS,Igor Bobic,2022-01-03
"NY Attorney General Subpoenas Donald Trump, Ivanka Trump, Donald Trump Jr.",POLITICS,"Michael R. Sisak, AP",2022-01-03
Marine Corps Boots 206 Service Members Who Refused COVID Vaccines,POLITICS,Mary Papenfuss,2022-01-03
Jamal Khashoggi's Saudi Killers Reportedly Doing Easy Time In Security Compound,CRIME,Mary Papenfuss,2022-01-02
Madison Cawthorn Says Founding Fathers Wouldn't Recognize U.S.; Twitter Critics: DUHH,POLITICS,Mary Papenfuss,2022-01-02
Marjorie Taylor Greene's Personal Twitter Account Permanently Suspended,POLITICS,Nina Golgowski,2022-01-02
Chilling Trump Letter Calling For 'Seizure' Of Election Material Revealed In Log To Jan. 6 Probers,POLITICS,Mary Papenfuss,2022-01-02
Rep. Alexandria Ocasio-Cortez Rips 'Creepy Weirdo' Trump Adviser For Fixating On Boyfriend's Feet,POLITICS,Mary Papenfuss,2022-01-01
Some Of The Biggest Lies Being Spread About The Jan. 6 Insurrection,POLITICS,"David Klepper, AP",2022-01-01
'A Hell Of A Year': GOP Anticipating A Triumphant 2022,POLITICS,"Steve Peoples and Will Weissert, AP",2021-12-31
Politicians Pay Tribute To Former Senate Leader Harry Reid,POLITICS,Sanjana Karanth,2021-12-29
"Biden, Putin To Hold Call Over Stepped Up Security Demands",POLITICS,"Aamer Madhani, AP",2021-12-29
California Man Gets Second Life Term For Synagogue Attack,CRIME,"Elliot Spagat, AP",2021-12-28
Judge Refuses To Dismiss Alleged Proud Boys Leaders’ Charges,POLITICS,"Michael Kunzelman, AP",2021-12-28
Biden Acknowledges Federal Effort To Expand COVID Testing ‘Clearly Not Enough’,POLITICS,Sanjana Karanth,2021-12-27
"Sarah Weddington, Lawyer Who Argued Roe V. Wade, Dies At 76",POLITICS,"Jake Bleiberg, AP",2021-12-26
Holiday Sales Rise Despite Supply Issues And Omicron,BUSINESS,"Paul Wiseman and Anne D'Innocenzio, AP",2021-12-26
Biden Joins First Lady For Christmas Eve Visit To Children's Hospital,POLITICS,"Alexandra Jaffe, AP",2021-12-24
Explainer: What Will Judge Chu Weigh In Sentencing Kim Potter?,CRIME,"Amy Forliti, AP",2021-12-24
Trump Asks Supreme Court To Block Release Of Documents,POLITICS,"MARK SHERMAN, AP",2021-12-23
Ex-Cop Kim Potter Found Guilty On Manslaughter Charges For Killing Daunte Wright,CRIME,Sanjana Karanth,2021-12-23
Aaron Rodgers Is Still Complaining About Cancel Culture And It Isn't A Good Look,POLITICS,Ron Dicker,2021-12-22
Judge Denies Michael Flynn's Attempt To Block Subpoena For Phone Records In Jan. 6 Probe,POLITICS,Sebastian Murdock,2021-12-22
Judge Will Admit Confession Of Trump Fanatic Who Electroshocked Cop At Capitol Attack,POLITICS,Ryan J. Reilly,2021-12-22
Jan. 6 Committee Seeks Interview With GOP Rep. Jim Jordan,POLITICS,"FARNOUSH AMIRI and MARY CLARE JALONICK, AP",2021-12-22
Democrats Slam Manchin For Saying He Can't Vote For Biden's Build Back Better Plan,POLITICS,Nina Golgowski,2021-12-19
Senator Joe Manchin Kills Biden's Social Spending And Climate Plan: 'I Can't Get There',POLITICS,George Zornick and Alexander C. Kaufman,2021-12-19
Michael Cohen Slams 'Stupid' Mark Meadows On MSNBC,POLITICS,Mary Papenfuss,2021-12-19
Former Georgia Republican Sen. Johnny Isakson Dies At 76,POLITICS,Sanjana Karanth,2021-12-19
Low-Profile Ransomware Attacks Continue As High-Profile Cases Slow,BUSINESS,"Eric Tucker and Alan Suderman Washington, AP",2021-12-18
Senate Confirmed White Nominees More Quickly Than Nominees Of Color This Year,POLITICS,Amanda Terkel,2021-12-17
Capitol Rioter Who Bragged About Her 'Infamy' Sentenced To Prison,POLITICS,Ryan J. Reilly,2021-12-17
Joe Biden Gives Green Bay Packers Fan A Blunt Message For Unvaxxed Aaron Rodgers,POLITICS,Lee Moran,2021-12-17
"Michael Cohen Sues Trump, Accuses Him Of 'Weaponizing' Prison Over Tell-All Memoir",POLITICS,Mary Papenfuss,2021-12-17
Rep. Jim Jordan Admits To Sending One Of The Texts Revealed By Jan. 6 Committee,POLITICS,Josephine Harvey,2021-12-16
LeBron James' Age-Defying Leap Makes Fans Jump For Joy,SPORTS,Ron Dicker,2021-12-16
House Moves Forward With Criminal Charges Against Mark Meadows,POLITICS,Sara Boboltz,2021-12-15
Archaic Citizen’s Arrest Laws Led To Ahmaud Arbery’s Death. They’re Still On The Books In Many States.,POLITICS,Phillip Jackson,2021-12-15
Zac Stacy Makes Jaw-Dropping Claim About Alleged Beating Of Ex-Girlfriend,SPORTS,Ron Dicker,2021-12-14
Meadows’ ‘Protect Pro Trump People’ Email May Explain Military Reluctance To Deploy Troops,POLITICS,S.V. Date,2021-12-14
Alex Jones Wonders If Joe Biden Used 'Weather Weapons' To Cause Deadly Tornadoes,POLITICS,Josephine Harvey,2021-12-14
QAnon Believer Who Threatened To Shoot Nancy Pelosi For Trump Sentenced To Prison,POLITICS,Ryan J. Reilly,2021-12-14
First Amendment Doesn't Protect Lies To Fleece MAGA Backers: Ex-White House Ethics Lawyer,POLITICS,Mary Papenfuss,2021-12-14
Fauci Says Those Who Want To Be 'Optimally Protected' Should Get COVID-19 Booster,POLITICS,Nick Visser,2021-12-13
Player In PowerPoint Election Overthrow Plot Reportedly Talked Often With Mark Meadows,POLITICS,Mary Papenfuss,2021-12-12
Prosecution Rests In Sex-abuse Trial Of Ghislaine Maxwell,CRIME,"Larry Neumeister and Tom Hays, AP",2021-12-11
Mark Meadows Hands Over PowerPoint Plan For Trump To Overthrow Election,POLITICS,Mary Papenfuss,2021-12-11
Watch Rutgers Star Ron Harper Jr. Make The Buzzer Beater Of The Year,SPORTS,Ron Dicker,2021-12-10
Supreme Court Rules To Allow Challenges To Texas Abortion Ban,POLITICS,Lydia O'Connor and Sara Boboltz,2021-12-10
Tucker Carlson Has A Misogynistic New Take On What COVID-19 Does To People,POLITICS,Josephine Harvey,2021-12-09
Pair Of Oxford Shooting Survivors File $100 Million Lawsuit Against District,CRIME,Sara Boboltz,2021-12-09
Arkansas Becomes 3rd State To Introduce Texas-Style Abortion Ban,POLITICS,Alanna Vagianos,2021-12-08
Ocasio-Cortez Absolutely Wrecks Boebert Over Gun-Themed Christmas Pic,POLITICS,David Moye,2021-12-08
Former DC Guard Official Rips 'Unmitigated' Jan. 6 Lies Of Michael Flynn's Brother,POLITICS,Mary Papenfuss,2021-12-07
Republicans Attack Child Care Funding As 'Toddler Takeover',POLITICS,"Igor Bobic, Arthur Delaney, and Jonathan Cohn",2021-12-07
Nevada Man Gets 4 Years For Scams Using Fake Trump And Biden PACS,CRIME,Mary Papenfuss,2021-12-07
Former GOP Senator David Perdue Enters Georgia Governor’s Race (UPDATED),POLITICS,Nick Visser,2021-12-06
"Trump Social Media Blows Deadline, Still Claims $1 Billion Commitment From Secret Investors",POLITICS,Mary Papenfuss,2021-12-05
Chris Cuomo Denies Sexual Misconduct Allegations Against Him After CNN Firing,POLITICS,Sanjana Karanth,2021-12-05
"Bob Dole, Former Republican Senator And Presidential Nominee, Dies At 98",POLITICS,Samantha Lachman and Nina Golgowski,2021-12-05
Joe Biden’s ‘Vaccine Mandate’ Has An Alternative: Weekly Tests,POLITICS,"Arthur Delaney, Dave Jamieson, and Igor Bobic",2021-12-04
Omicron Variant Found In 5 States As Biden Lays Out Plan To Tackle Winter Surge,POLITICS,Nick Visser,2021-12-03
President Joe Biden Has A Cold,POLITICS,Sarah Ruiz-Grossman,2021-12-03
Biden Set To Extend Mask Mandate On Public Transit Through Mid-March: Reports,POLITICS,Nick Visser,2021-12-02
House Passes Government Funding As Senate Republicans Threaten Shutdown Over Vaccines,POLITICS,Tara Golshan,2021-12-02
Jan. 6 Committee Votes To Hold Ex-Trump Official Jeffrey Clark In Contempt,POLITICS,Sara Boboltz,2021-12-02
Senate Republicans Threaten Government Shutdown Over ‘Vaccine Mandate’,POLITICS,"Arthur Delaney, Igor Bobic, and Tara Golshan",2021-12-01
Stacey Abrams Announces Run For Georgia Governor In 2022,POLITICS,Ryan Grenoble,2021-12-01
President Joe Biden Reaches Out To Another Child Struggling With A Stutter,POLITICS,Mary Papenfuss,2021-11-30
Court Upholds California's Ban On High-Capacity Gun Magazines,POLITICS,"Don Thompson, AP",2021-11-30
Actor Jussie Smollett Heads To Trial To Face Charges He Lied To Police,CRIME,Mary Papenfuss,2021-11-29
"Carrie Meek, Pioneering Black Former Congresswoman, Dies",POLITICS,"FREIDA FRISARO, AP",2021-11-29
Matthew McConaughey Says He's Decided Not To Run For Texas Governor,POLITICS,Josephine Harvey,2021-11-29
Omar Seeks Action Over Far-Right Congresswoman's Islamophobic Remarks,POLITICS,"James Anderson, AP",2021-11-28
News Crew Security Guard Dies After Being Shot While Helping Robbery Coverage,CRIME,"Daisy Nguyen, AP",2021-11-27
Stores Kick Off Black Friday But Pandemic Woes Linger,BUSINESS,"ANNE D'INNOCENZIO, AP",2021-11-26
Justice Dept. To Prioritize Prosecuting Violence On Flights,POLITICS,"Michael Balsamo, AP",2021-11-25
Supreme Court Will Hear Dispute Over North Carolina Voter ID Law,POLITICS,Lydia O'Connor,2021-11-24
White House: 92% Of Fed Workers Under Mandate Are Vaccinated,POLITICS,"Zeke Miller and Colleen Long, AP",2021-11-24
More States Expanded Voting Rights In 2021 Than Restricted Them,POLITICS,Paul Blumenthal,2021-11-24
Milwaukee’s ‘Dancing Grannies’ Devastated By Parade Crash,POLITICS,"Tim Sullivan, Kathleen Foody and Tammy Webber, AP",2021-11-23
Fed's Powell Will Aim To Win A High-Stakes Bet In 2nd Term,POLITICS,"Christopher Rugaber, AP",2021-11-23
GOP Gov. Chris Sununu Says Republicans In Congress Have 'Priorities Screwed Up',POLITICS,Josephine Harvey,2021-11-22
Joe Biden Sets $15 Minimum Wage For Federal Contractors,POLITICS,Dave Jamieson,2021-11-22
Vermont Democratic U.S. Rep. Peter Welch To Run For Patrick Leahy's Senate Seat,POLITICS,"LISA RATHKE and WILSON RING, AP",2021-11-22
"Biden To Keep Jerome Powell As Fed Chair, Brainard Gets Vice Chair",POLITICS,"CHRISTOPHER RUGABER, AP",2021-11-22
Biden Goes With Safe Fed Pick Over Nod To Progressives In Face Of Inflation Threat,POLITICS,S.V. Date,2021-11-22
"O’Rourke: Military-Style Weapons, Permitless Carry Prevent Responsible Gun Ownership",POLITICS,Sanjana Karanth,2021-11-21
Virginia's Lt. Gov.-Elect Likens Vaccine Status To Inquiring About One's DNA,POLITICS,Nina Golgowski,2021-11-21
Biden Marks Transgender Day Of Remembrance: 'Each Of These Lives Was Precious',POLITICS,Hilary Hanson,2021-11-20
Elizabeth Holmes Takes Stand In Theranos Criminal Fraud Trial,CRIME,"Michael Liedtke and Barbara Ortutay, AP",2021-11-20
State Attorneys General Investigating Instagram's Negative Effects On Kids,POLITICS,Ryan Grenoble,2021-11-19
"House Moves Toward OK Of Dems' Sweeping Social, Climate Bill",POLITICS,"Alan Fram, AP",2021-11-19
Police In Memphis Hunt For Suspects In Young Dolph’s Killing,CRIME,"ADRIAN SAINZ and RYAN PEARSON, AP",2021-11-18
Biden 'Confident' Build Back Better Will Be Passed 'Within A Week',POLITICS,"Lisa Mascaro, AP",2021-11-17
Senator Amy Klobuchar Shares Good News About Her Breast Cancer Diagnosis,POLITICS,Ryan Grenoble,2021-11-17
San Francisco 49ers Player Makes Incredible 'Buttception',SPORTS,David Moye,2021-11-16
Wyoming GOP Says It Won’t Recognize Rep. Liz Cheney As A Republican Anymore,POLITICS,Nick Visser,2021-11-16
Sen. Patrick Leahy Not Running For Reelection,POLITICS,Igor Bobic,2021-11-15
Thousands Of Military Families Struggling With Food Insecurity,POLITICS,"Ashraf Khalil, AP",2021-11-15
Joe Biden And Xi Jinping Prepare For First Presidential Meeting,POLITICS,"Aamer Madhani, AP",2021-11-15
Sen. John Barrasso Refuses To Condemn Trump For Defending 'Hang Mike Pence' Chants,POLITICS,Nina Golgowski,2021-11-14
Adam Schiff: Steve Bannon Indictment Will 'Without A Doubt' Sway Others,POLITICS,Nina Golgowski,2021-11-14
Steve Bannon Hosts Podcast As 'Bannon Indicted' News Appears On TV Behind Him,POLITICS,David Moye,2021-11-13
Parkland Students Are Still Trying To Heal While Pushing Gun Reform,POLITICS,"Kelli Kennedy, AP",2021-11-13
How Kyrsten Sinema Went From Social Worker To Centrist,POLITICS,"Brian Slodysko, AP",2021-11-13
"With Dems' Prized Bill At Stake, A Numbers Game Looms Ahead",POLITICS,"Alan Fram, AP",2021-11-13
"As Virus Surges, Colorado Opens Up COVID Boosters To All Adults",POLITICS,"JAMES ANDERSON, AP",2021-11-12
"Death Threats, Tweets Jolt GOP Infrastructure Supporters",POLITICS,"Alan Fram, AP",2021-11-11
Judge Overturns Texas Ban On School Mask Mandates In Blow To GOP Governor,POLITICS,Nick Visser,2021-11-11
House Democrats Move To Censure GOP Rep. Paul Gosar Over Violent Video,POLITICS,Josephine Harvey,2021-11-11
Oklahoma Gov. Orders State To Stop Issuing Nonbinary Birth Certificates,POLITICS,"Sean Murphy, AP",2021-11-11
Nikola Jokic Unleashes 'Nasty Cheap Shot' At Markieff Morris In Ugliest Play Of Season,SPORTS,Ron Dicker,2021-11-09
Joe Biden Promised To Take On Saudi Arabia Over Jamal Khashoggi. The Saudis Won.,POLITICS,Akbar Shahid Ahmed,2021-11-09
Rep. Adam Kinzinger Reportedly Considered Using His Gun During U.S. Capitol Riot,POLITICS,Mary Papenfuss,2021-11-09
"Trump Officials Repeatedly Violated Hatch Act, Probe Finds",POLITICS,"Jill Colvin, AP",2021-11-09
"Jan. 6 Committee Subpoenas Trump Campaign Officials, Author Of Infamous ‘Coup Memo’",POLITICS,S.V. Date,2021-11-08
Jan. 6 Rioter Wanted By The FBI Flees To Belarus,POLITICS,Ryan Grenoble,2021-11-08
New Jersey Gov. Phil Murphy On Narrow Reelection: ‘There’s A Lot Of Hurt Out There’,POLITICS,Sanjana Karanth,2021-11-07
Republicans Update Their Race-Coded Strategy To Mobilize The Trump Base,POLITICS,Paul Blumenthal,2021-11-06
Republicans Flip Virginia House of Delegates In Devastating Blow To Democrats,POLITICS,Travis Waldron,2021-11-06
Conservative Pundit Reveals ‘Pretty Darn Simple’ Reason For Glenn Youngkin Victory,POLITICS,Lee Moran,2021-11-05
Republicans Want Parents To Be Angry. Democrats Are Trying To Give Them Money.,POLITICS,Arthur Delaney,2021-11-05
State GOP Leader Rants About Biden Destroying America With… Mass Vaccinations,POLITICS,Lee Moran,2021-11-05
