,headline,category,authors,date,topic
388,Democrats Are Close To Implementing Big Fines For Illegal Union Busting,POLITICS,Dave Jamieson,2021-10-29,democrats
389,Supreme Court To Consider Limiting EPA's Power To Regulate Climate-Changing Gases,POLITICS,Alexander C. Kaufman,2021-10-29,court
390,"Sean Spicer Rips Joe Biden For Something Donald Trump Did Many, Many Times",POLITICS,Lee Moran,2021-10-29,rep
391,No White House Treats For Halloween This Year,POLITICS,"DARLENE SUPERVILLE, AP",2021-10-28,white house
392,Conservative Pundit Points Out Where Real Blame For GOP’s ‘Descent Into Madness’ Lies,POLITICS,Lee Moran,2021-10-27,republicans
393,‘Tell The Truth Or Your 3 Kids Will Be Fatally Shot': Election Officials Detail Threats,POLITICS,Paul Blumenthal,2021-10-26,election
394,Miami Herald Pulls No Punches With Stinging Gov. Ron DeSantis Editorial,POLITICS,Lee Moran,2021-10-26,rep
395,Republicans Go To Bat For Billionaires Targeted By Democratic Tax Plan,POLITICS,Igor Bobic and Arthur Delaney,2021-10-26,republicans
396,Dr. Anthony Fauci Says 5- To 11-Year-Olds Could Get Pfizer COVID-19 Shot By Early November,POLITICS,Nick Visser,2021-10-25,rep
397,Neil Cavuto Begs Fox News Viewers To Think Of Others And Get Vaccinated,POLITICS,Josephine Harvey,2021-10-24,biden
398,Coding Developer Seeks 'Legal Counsel' As Trump Social Media Appears To Violate License,POLITICS,Mary Papenfuss,2021-10-24,trump
399,Rep. Alexandria Ocasio-Cortez Asks Buffalo To Elect ‘Badass’ India Walton As Mayor,POLITICS,Daniel Marans,2021-10-23,rep
400,Chris Hayes Exposes The 'Cruelty At The Core' Of The GOP,POLITICS,Lee Moran,2021-10-23,republicans
401,Tyranny Expert Sounds The Alarm On 2024 Election: It’s Happening,POLITICS,Lee Moran,2021-10-23,election
402,Fox News' Dana Perino Makes 'Nonsensical' Comment About Wind Power,POLITICS,Ron Dicker,2021-10-22,rep
403,GOP Meddles In Buffalo Mayoral Race To Help Incumbent Democratic Mayor,POLITICS,Daniel Marans,2021-10-22,republicans
404,GOP Governor Blasts Anti-Vax Lawmakers: 'I Don't Need Crazy Getting In The Way',POLITICS,Josephine Harvey,2021-10-22,republicans
405,Republicans Don't Want To Talk About Trump Unless They're On The Campaign Trail,POLITICS,Igor Bobic,2021-10-20,republicans
406,Rahm Emanuel’s Confirmation Hearing Falls On Laquan McDonald’s Death Anniversary,POLITICS,Sanjana Karanth,2021-10-20,rep
407,New Documentary Zooms In On Pete Buttigieg's Historic Presidential Run,POLITICS,Curtis M. Wong,2021-10-18,election
408,Undocumented And In Need Of An Abortion In Texas' Rio Grande Valley,POLITICS,Alanna Vagianos,2021-10-18,biden
409,Texas GOP Advances New Congressional Maps That Would Tighten Slipping Grip,POLITICS,"Acacia Coronado, AP",2021-10-17,republicans
410,'I'm So Stupid': MAGA Fan Who Attacked Officer Mike Fanone Called Himself A 'Piece Of S**t',POLITICS,Ryan J. Reilly,2021-10-17,rep
411,Tucker Carlson Offers Most Insincere Response To Pete Buttigieg Attack Backlash,POLITICS,Lee Moran,2021-10-16,rep
412,Kayleigh McEnany Attacks Jen Psaki With ‘Least Self-Aware Tweet Ever Written’,POLITICS,Lee Moran,2021-10-15,rep
413,Awkward? A Personal Gift From Trump To Giuliani Just Sold At Auction,POLITICS,Josephine Harvey,2021-10-15,biden
414,Texas School Official Suggests Teaching Both Holocaust Books And ‘Opposing’ Views: Report,POLITICS,Sarah Ruiz-Grossman,2021-10-14,rep
415,"Anti-Mask Alaska State Senator Gets COVID-19, Touts Unproven Treatments",POLITICS,Josephine Harvey,2021-10-14,rep
416,Utah Republicans Shamelessly Invoke Tribes To Condemn Biden’s Monument Restorations,POLITICS,Chris D'Angelo,2021-10-13,republicans
417,Texas Republican Allen West Goes On Anti-Vaccine Rant While Hospitalized With COVID-19,POLITICS,Sanjana Karanth,2021-10-12,republicans
418,NJ Democrats Attack GOP Candidate's Support Of '90s Cursing Ban With Foul-Mouthed Ad,POLITICS,David Moye,2021-10-12,democrats
419,Ted Cruz Jokes About That Time He Abandoned Constituents For A Cancun Trip,POLITICS,Josephine Harvey,2021-10-11,rep
420,Texas Clinics Cancel Abortion Appointments After Court Reinstates Ban,POLITICS,"Paul J. Weber, AP",2021-10-10,court
421,Fiona Hill Calls Capitol Riot A ‘Dress Rehearsal’ For Further Violence,POLITICS,Sanjana Karanth,2021-10-10,capitol
422,Mitch McConnell Tells Biden He Won't Deal On Debt Again After Chuck Schumer's 'Tantrum',POLITICS,Mary Papenfuss,2021-10-09,rep
423,Chris Hayes Goes Off At Trump 'Coup Lackey' Who 'Went Full Insurrectionist',POLITICS,Josephine Harvey,2021-10-08,trump
424,Disturbing New Footage Shows Minneapolis Cops Saying They're 'Hunting Activists',POLITICS,Lydia O'Connor,2021-10-07,biden
425,The Feds Have Made 625+ Capitol Riot Arrests. They Still Have A Long Way To Go.,POLITICS,Ryan J. Reilly,2021-10-06,capitol
426,MSNBC Goes To Town On GOP Sen. Josh Hawley With A Stinging Supercut,POLITICS,Lee Moran,2021-10-06,republicans
427,FBI Raids NYPD Union Office And Home Of Its Right-Wing Leader,POLITICS,"Michael R. Sisak, AP",2021-10-05,rep
428,Melania Trump Scorches Tell-All Author Stephanie Grisham As 'Troubled And Deceitful',POLITICS,Mary Papenfuss,2021-10-05,rep
429,Trump Faces Deadline For Questioning In Defamation Suit,POLITICS,"Jennifer Peltz, AP",2021-10-04,trump
430,Why Manchin And Democratic Leaders Might Not Be Quite So Far Apart,POLITICS,Jonathan Cohn,2021-10-03,democrats
431,Women's March Targets Abortion Access On Steps Of Supreme Court,POLITICS,"Ellen Knickmeyer, AP",2021-10-02,court
432,Biden Says 'Everybody Is Frustrated' As His Agenda Stalls,POLITICS,"Lisa Mascaro and Zeke Miller, AP",2021-10-02,biden
433,"'Laughable' Cyber Ninjas' Arizona Recount Missed 16,000 Votes, Says Experts' Review",POLITICS,Mary Papenfuss,2021-10-02,vote
434,"Over Two-Thirds Of Muslim Americans Have Faced Islamophobia, New Survey Finds",POLITICS,Rowaida Abdelaziz,2021-10-01,rep
435,Prosecutors In Wyoming Considering Charging Librarians For Stocking Books,POLITICS,"Mead Gruver, AP",2021-10-01,biden
436,Rep. Jim Jordan's Question About Democrats Gets Turned Into A Punchline About Him,POLITICS,Lee Moran,2021-09-30,biden
437,Trump May Have Let Slip Details Of His Election Scheme As He Attacked Georgia Governor,POLITICS,S.V. Date,2021-09-29,election
438,"'Disengaged' Melania Trump Was Asleep On Election Night, New Book Says",POLITICS,Josephine Harvey,2021-09-29,election
439,Rachel Maddow Reads Damning Giuliani Testimony Showing Roots Of Election Conspiracy,POLITICS,Josephine Harvey,2021-09-29,election
440,"Rep. Lauren Boebert Tries To Make A Point About Vaccines, Gets A Big Dose Of Mockery",POLITICS,Josephine Harvey,2021-09-28,rep
441,Here Are The States That Automatically Mail Ballots To All Voters,POLITICS,Sanjana Karanth,2021-09-28,vote
442,'The View's' Ana Navarro Rips 'Dimwit' Donald Trump Jr. After He Mocks Her Weight,POLITICS,Mary Papenfuss,2021-09-28,rep
443,Scientist Complained Trump 'Election Stuff' Overrode COVID Concerns In His White House,POLITICS,Mary Papenfuss,2021-09-26,election
444,Betsy DeVos Throws Surprise Shade At Donald Trump,POLITICS,Mary Papenfuss,2021-09-26,rep
445,Former Arizona AG Slams Cyber Ninjas 'Grift' In Botched Vote Audit,POLITICS,Mary Papenfuss,2021-09-26,Ex-Prosecutor
446,U.S. And Pakistan Face Each Other On Afghanistan Threats At UN Summit,POLITICS,"Nomaan Merchant, AP",2021-09-25,rep
447,Mary Trump Quips That Her Uncle's Lawyers Now Probably 'Operate Out Of Strip Malls',POLITICS,Mary Papenfuss,2021-09-25,rep
448,Draft Report Of Arizona Sham Audit Confirms Biden's Win Over Trump,POLITICS,Liza Hearon,2021-09-24,biden
449,Lauren Boebert Calls For Joe Biden's 'Imeachment',POLITICS,Jennifer Bendery,2021-09-24,joe
450,Right-Wing Preacher Cooks Up The Most Bonkers Plea Yet For A Private Jet,POLITICS,Ed Mazza,2021-09-23,biden
451,MyPillow Guy Mocked For A New Trump Prediction... And It's A Real Turkey,POLITICS,Ed Mazza,2021-09-22,biden
452,"Legal Experts Spot The Fatal Flaws With Donald Trump's Lawsuit Against His Niece, NYT",POLITICS,Lee Moran,2021-09-22,trump
453,MSNBC Hosts Crack Up Over Error Found On First Page Of Trump Lawsuit,POLITICS,Josephine Harvey,2021-09-22,rep
454,Boris Johnson Needles Anti-Vax Brazilian President While Promoting Vaccine,POLITICS,Ron Dicker,2021-09-21,rep
455,Biden Pledges To Double U.S. Climate Aid. It’s Still A Fraction Of What’s Needed.,POLITICS,Alexander C. Kaufman,2021-09-21,biden
456,"Voters Credit Biden For Boost In Child Tax Payments, Unemployment Benefits",POLITICS,Arthur Delaney,2021-09-20,biden
457,Jersey City Mayor Promises To Reopen Rental Aid Applications After HuffPost Report,POLITICS,Amanda Terkel,2021-09-20,rep
458,Support For Gov. Greg Abbott Plunging In New Texas Poll,POLITICS,Mary Papenfuss,2021-09-20,biden
459,Emmanuel Macron To Talk To Biden Amid Crisis Over Submarines,POLITICS,"ELAINE GANLEY, AP",2021-09-19,rep
460,Renegade Cyber Ninjas Brazenly Defies Senate Demand For Records In Arizona Vote 'Fraudit',POLITICS,Mary Papenfuss,2021-09-19,vote
461,"Trump Considered Painting His Own Plane The Way 'Air Force One Should Look,' Book Reveals",POLITICS,Mary Papenfuss,2021-09-19,rep
462,Police Say They’re Ready For Rally Supporting Jan. 6 Rioters,POLITICS,"By Colleen Long, Michael Balsamo and Ashraf Khalil, AP",2021-09-18,rep
463,$100 Million Trump Tower Loan Placed On Bank 'Watch List' Over Vacancies,POLITICS,Mary Papenfuss,2021-09-18,trump
464,Former Judges Defend 'Grim Reaper' Lawyer In COVID War With Gov. Ron DeSantis,POLITICS,Mary Papenfuss,2021-09-17,war
465,Trump Is Still Begging Georgia Officials To Overturn The 2020 Election Results,POLITICS,Sara Boboltz,2021-09-17,trump
466,Clarence Thomas Criticizes Judges For Veering Into Politics,POLITICS,"Sara Burnett, AP",2021-09-16,rep
467,New Ad Shows Texas Gov Is Far From Only Republican To Make Offensive Comments About Rape,POLITICS,Lee Moran,2021-09-15,republicans
468,Tucker Carlson Makes On-Air Plea To Swollen-Testicled Friend Of Nicki Minaj’s Cousin,POLITICS,Lee Moran,2021-09-15,rep
469,Paula Jones Blasts Her Portrayal On 'American Crime Story: Impeachment',POLITICS,David Moye,2021-09-14,rep
470,"COVID Cases, Deaths Notably Worse In Red States Than Blue States: Report",POLITICS,Mary Papenfuss,2021-09-12,rep
471,Trump Drops Big Hint About Presidential Run At Meeting With Manhattan Police,POLITICS,Mary Papenfuss,2021-09-12,election
472,Mary Trump Says It's 'Disgraceful' Her Uncle Is Spending 9/11 Commenting On Boxing Match,POLITICS,Mary Papenfuss,2021-09-11,rep
473,"Biden To Republicans Threatening To Challenge Vaccine, Testing Mandates: ‘Have At It’",POLITICS,Ryan Grenoble,2021-09-10,republicans
474,Jeanine Pirro Attacks Biden For Being Sympathetic Toward Flight Attendants,POLITICS,David Moye,2021-09-10,rep
475,Kellyanne Conway Spectacularly Self-Owns With Reason For Not Quitting Military Board,POLITICS,Lee Moran,2021-09-09,rep
476,Republicans Already Lying That California's Recall Election Is 'Rigged',POLITICS,Igor Bobic,2021-09-08,republicans
477,Trumper Who Chartered Buses To Jan. 6 Rally Pleads Guilty In Capitol Breach Case,POLITICS,Ryan J. Reilly,2021-09-08,republicans
478,Donald Trump’s 9/11 Boxing Commentary Gig Gets KO’d On Twitter,POLITICS,Lee Moran,2021-09-08,biden
479,Texas Abortion Snitching Site Now Shares Web Host With Far-Right Extremists,POLITICS,Mary Papenfuss,2021-09-07,rep
480,"Democratic Proposal Could Reduce Poverty By 3.3 Million People, Study Says",POLITICS,Jonathan Cohn,2021-09-06,democrats
481,15 Miami-Dade Public School Staff Members Die Of COVID In Just 10 Days,POLITICS,Mary Papenfuss,2021-09-05,biden
482,Bette Midler Calls For Sex Strike In Wake Of Radical Texas Abortion Crackdown,POLITICS,Mary Papenfuss,2021-09-05,biden
483,"Mary Trump Rips 'Fascist' Uncle, Assumes He Doesn't Even Know What That Means",POLITICS,Mary Papenfuss,2021-09-05,rep
484,Amy Klobuchar Renews Call For Justice Breyer’s Retirement Amid Texas Abortion Law,POLITICS,Sanjana Karanth,2021-09-05,democrats
485,"Bumble, Match CEO, Uber, Lyft Step Up To Help Women Battle Radical Texas Anti-Abortion Law",POLITICS,Mary Papenfuss,2021-09-04,biden
486,Supreme Court Abortion Decision Should Show Democrats It’s Time To Embrace Democracy,POLITICS,Paul Blumenthal,2021-09-04,democrats
487,"MAGA PAC Forking Over $37,500 A Month In Rent To Trump Tower For Just 3 Employees",POLITICS,Mary Papenfuss,2021-09-04,republicans
488,At Least 43 Dead As Ida’s Remnants Spawn Weather Chaos In Northeast,POLITICS,Nick Visser and Liza Hearon,2021-09-02,rep
489,'This Is Untenable': Supreme Court Liberals Slam Decision On Texas Abortion Ban,POLITICS,Sara Boboltz,2021-09-02,court
490,Supreme Court Declines To Block Extreme Texas Abortion Law In 5-4 Ruling,POLITICS,Nick Visser,2021-09-02,court
491,Mitch McConnell Gives GOP A Reality Check In Response To Demands For Biden's Ouster,POLITICS,Ron Dicker,2021-09-02,republicans
492,GOP Operative Reportedly Caught Pretending To Be A Talk Radio Caller Named 'Josh',POLITICS,Amanda Terkel,2021-09-01,republicans
493,Jim Jordan's Own Words Come Back To Haunt Him In Damning New Supercut Video,POLITICS,Ed Mazza,2021-09-01,rep
494,Supreme Court Allows Extreme Texas Abortion Ban To Go Into Effect,POLITICS,Alanna Vagianos,2021-09-01,court
495,"Trump Funding Network Paid $4.3 Million To People, Firms Who Set Up Jan. 6 Rally: Report",POLITICS,Mary Papenfuss,2021-08-31,rep
496,Trump Rants About Media Spending 'All Night' On Ida Instead Of His 'Great' Taliban Deal,POLITICS,Mary Papenfuss,2021-08-31,trump
497,U.S. Military Releases Haunting Image Of Last Soldier To Leave Afghanistan,POLITICS,Ed Mazza,2021-08-31,war
498,GOP Candidate Suggests Forcibly Removing School Board Members Over Mask Mandates,POLITICS,David Moye,2021-08-30,republicans
499,"U.S. Drone Strike Kills Suicide Bombers Targeting Kabul Airport, Officials Say",POLITICS,"Kathy Gannon, Lolita C. Baldor, Tameem Akhgar and Jon Gambrell, Associated Press",2021-08-29,rep
500,Texas Anti-Mask 'Freedom Defender' Caleb Wallace Dies Of COVID-19,POLITICS,Mary Papenfuss,2021-08-29,biden
501,"Delta Is Coming For Jails And Prisons, And The System Isn’t Ready To Protect The Incarcerated",POLITICS,Jessica Schulberg,2021-08-28,biden
502,"If This Texas Abortion Ban Takes Effect, The State Will Pay Citizens To Enforce It",POLITICS,Alanna Vagianos,2021-08-28,biden
503,Trump's D.C. Hotel Permanently Bans Forbes Reporter After ... Wait For It ... Taking Photos,POLITICS,Mary Papenfuss,2021-08-28,rep
504,"Trump Suggests Osama Bin Laden Wasn't That Big A Deal, Says He Only Had 'One Hit'",POLITICS,Josephine Harvey,2021-08-27,trump
505,Billions In Federal Rental Aid Sit Unspent By Local Governments,POLITICS,"Arthur Delaney, Amanda Terkel, and Tara Golshan",2021-08-25,rep
506,Children Now Make Up 36% Of Tennessee’s Virus Cases,POLITICS,"Kimberlee Kruesi, AP",2021-08-25,rep
507,Trump Supporters Were Asked If They Got Vaccinated And You Know What Happened Next,POLITICS,Ed Mazza,2021-08-24,republicans
508,Andrew Cuomo Officially Steps Down After 10 Years As New York Governor,POLITICS,Sanjana Karanth,2021-08-24,biden
509,Trump Booed At His Own Rally For Finally Telling The Truth About Something,POLITICS,Ed Mazza,2021-08-23,trump
510,Joe Biden Urges Private Sector To Establish Vaccine Mandates Now,POLITICS,Lydia O'Connor,2021-08-23,biden
511,Biden Considers Bringing In Commercial Airlines To Aid In Afghanistan Evacuation,POLITICS,"Hilary Hanson and AP, AP",2021-08-22,biden
512,Mike Lindell Is Hiding A County Clerk Amid FBI Probe Of A Vote Data Leak: Report,POLITICS,Mary Papenfuss,2021-08-20,rep
513,"Andrew Cuomo's Attorneys Dispute Claims Of Sexual Harassment, Again",POLITICS,Sara Boboltz,2021-08-20,rep
514,Texas Lt. Gov. Falsely Blames Black People For State's Low Vaccination Rates,POLITICS,David Moye,2021-08-20,rep
515,GOP Leader Who Fought Against Vaccine Dies After Weekslong Battle With Coronavirus,POLITICS,Ed Mazza,2021-08-20,republicans
516,Washington Governor Mandates Vaccines For All School Employees; Strictest Rule In U.S.,POLITICS,Nick Visser,2021-08-19,washington
517,Trump Attacks Biden For Afghanistan Chaos After Giving Taliban The Deal That Ensured It,POLITICS,S.V. Date,2021-08-19,trump
518,"On Food Assistance, Biden Strays Dramatically From Obama’s Record",POLITICS,Arthur Delaney,2021-08-18,biden
519,Twitter Users Outraged After Trump Calls COVID Booster Shots 'Crazy',POLITICS,David Moye,2021-08-18,trump
520,Poll: Reducing Size Of $3.5 Trillion Democratic Bill Doesn't Change Its Popularity,POLITICS,Jonathan Cohn,2021-08-18,democrats
521,Jen Psaki Reveals How She Deals With Peter Doocy When The Cameras Are Off,POLITICS,Ed Mazza,2021-08-16,rep
522,Colo. Clerk Accused Of Allowing Access to Vote Machine Passwords That Ended Up With QAnon Leader,POLITICS,Mary Papenfuss,2021-08-15,vote
523,How Nina Turner Lost Her Election,POLITICS,Daniel Marans,2021-08-14,election
524,Activists Call It A ‘False Solution.’ But UN Scientists Say We Need To Suck Up CO2.,POLITICS,Alexander C. Kaufman,2021-08-14,rep
525,Texas Judge Says There Are No Kid ICU Beds: Have To ‘Wait For Another Child To Die',POLITICS,Lee Moran,2021-08-14,court
526,A D.C. Cop At The Jan. 6 Riot Died By Suicide. Sleuths Identified 1 Of The Rioters He Battled.,POLITICS,Ryan J. Reilly,2021-08-13,rep
527,What The Census Tells Us About American Politics,POLITICS,Kevin Robillard,2021-08-13,rep
528,Donald Trump Yells Question About People Missing Him And You Know What Happened Next,POLITICS,Lee Moran,2021-08-13,trump
529,2 Moments From Mike Lindell's 72-Hour Fraud Fest You Must See To Believe,POLITICS,Ron Dicker,2021-08-11,rep
530,"Oregon To Restore Indoor Mask Mandate, Require Vaccines For Some State Employees",POLITICS,Nick Visser,2021-08-11,rep
531,"Southern Hospitals, Crushed By Delta Strain, Report Running Out Of ICU Beds",POLITICS,Nick Visser,2021-08-10,rep
532,Anti-Vaccine Protesters Mocked Over ‘Fully Researched’ Target... Outside Wrong Building,POLITICS,Lee Moran,2021-08-10,biden
533,NSA Watchdog To Review Agency Following Tucker Carlson’s Spy Claims,POLITICS,"Nomaan Merchant, AP",2021-08-10,rep
534,Melania Trump Hits Back At 'Dishonorable' Historian Over Rose Garden Criticism,POLITICS,Curtis M. Wong,2021-08-09,rep
535,Trump DOJ Ally Reportedly Pushed Wild Theory China May Have Used Vote-Hacking Thermometers,POLITICS,Mary Papenfuss,2021-08-08,rep
536,Hawley's Aide Lashed For Her 'Concern' About Too Many Masks,POLITICS,Mary Papenfuss,2021-08-08,rep
537,"Texas Democrats Continue Holdout, Don’t Show For New Session",POLITICS,"Acacia Coronado, Paul J. Weber, Associated Press",2021-08-07,democrats
538,Mark Hamill Mockingly Reveals How To Tell If Trump Merchandise Is ‘OFFICAL’ Or Not,POLITICS,Lee Moran,2021-08-07,biden
539,Secret Service Agent’s Brother Takes First Plea Deal For Assaulting Cops On Jan. 6,POLITICS,Ryan J. Reilly,2021-08-06,rep
540,Biden Administration To Extend Student Loan Moratorium Until January 2022,POLITICS,Kevin Robillard,2021-08-06,biden
541,"FDA Working On Booster Vaccine Strategy, Could Release Next Month: Report",POLITICS,Nick Visser,2021-08-06,rep
542,Tech Giant Took $2.7 Million From Trump The Day After Jan. 6 To Send More Of His Emails,POLITICS,S.V. Date,2021-08-05,trump
543,"Mike Carey, Trump-Backed Ohio Republican, Wins Crowded GOP Primary",POLITICS,Daniel Marans,2021-08-04,rep
544,Federal Judge Temporarily Blocks Texas Order Restricting Migrant Transportation,POLITICS,Dominique Mosbergen,2021-08-04,court
545,"Trump's Muslim Ban Harmed Muslim Americans' Health, Study Finds",POLITICS,Rowaida Abdelaziz,2021-08-04,trump
546,Louisiana Reinstates Indoor Mask Mandate As State's Largest Hospital Runs Out Of Beds,POLITICS,Nick Visser,2021-08-03,rep
547,"Pelosi Demands Andrew Cuomo Resign, Despite 40-Year Family Friendship",POLITICS,Alanna Vagianos,2021-08-03,democrats
548,New York Lawmakers Urge Andrew Cuomo To Resign In Wake Of Sexual Harassment Report,POLITICS,Alanna Vagianos,2021-08-03,biden
549,Lawmaker Who Survived Jonestown Massacre Compares Trump To Jim Jones,POLITICS,Mary Papenfuss,2021-08-02,rep
550,"Miami Beach Mayor Rips Ron DeSantis As 'Pied Piper' Of COVID-19, Leading State 'Off A Cliff'",POLITICS,Mary Papenfuss,2021-08-02,republicans
551,Watchdog Group Calls For Probe Of Trump's 'Weaponization' Of Justice Department,POLITICS,Mary Papenfuss,2021-08-01,trump
552,Rep. Madison Cawthorn Was Stopped Trying To Bring Gun On Plane In February,POLITICS,Hilary Hanson,2021-07-31,rep
553,"Seeing A Make-or-Break Moment, Climate Groups Plan Blitz Over Congressional Recess",POLITICS,Kevin Robillard,2021-07-30,biden
554,Democrats Bracing For Big Fight Over $3.5 Trillion Reconciliation Bill,POLITICS,Igor Bobic,2021-07-30,democrats
555,Pelosi Says Biden Administration Should Extend Eviction Moratorium,POLITICS,Tara Golshan and Arthur Delaney,2021-07-30,democrats
556,House GOP's Powerful Message Before Recess: We Hate Wearing Masks At Work,POLITICS,Jennifer Bendery,2021-07-29,republicans
557,"Biden Will Not Extend Eviction Moratorium, Even As States Struggle To Send Out Rent Relief",POLITICS,Tara Golshan,2021-07-29,biden
558,'I Think After?' Reporter Grills Jim Jordan On When He Spoke To Trump On Jan. 6,POLITICS,Josephine Harvey,2021-07-29,rep
559,Texas Lawmakers Sound The Alarm: Senate Dems Lack Urgency On Voting Rights,POLITICS,Travis Waldron,2021-07-29,democrats
560,"Democrats Want Paid Sick Days, Breaks For Domestic Workers",POLITICS,Sarah Ruiz-Grossman,2021-07-29,democrats
561,Lawmakers Feud On Twitter After In-Person Shouting Match Over Masks In Congress,POLITICS,Josephine Harvey,2021-07-29,biden
562,Fox News' Bret Baier Hits Out At Republicans Dismissing Capitol Riot Inquiry,POLITICS,Josephine Harvey,2021-07-28,republicans
563,'Partisan Pageantry': Republican Senators Dismiss Emotional Jan. 6 Hearing,POLITICS,Igor Bobic,2021-07-28,rep
564,Colorado Gov. Jared Polis Joins The #FreeBritney Cause,POLITICS,Ryan Grenoble,2021-07-28,rep
565,White House Says Travel Bans To Remain For Now As Delta Variant Surges,POLITICS,Nick Visser,2021-07-27,white house
566,How Joe Biden Became A Trust Buster,POLITICS,Daniel Marans and Kevin Robillard,2021-07-27,rep
567,Biden Says Vaccine Mandate For Federal Employees 'Under Consideration',POLITICS,Dominique Mosbergen,2021-07-27,biden
568,Oregon Gov. Warns Of 'Harsh Reality' Amid Mammoth Bootleg Fire,POLITICS,Nick Visser,2021-07-26,rep
569,Florida Again Leads Nation In Soaring COVID Cases Amid Delta Fears,POLITICS,Mary Papenfuss,2021-07-25,court
570,Date With Destiny: Capitol Riot Suspect Nabbed — This Time With Help From Dating App Bumble,POLITICS,Mary Papenfuss,2021-07-24,capitol
571,GOP Governor Says It's Time To 'Blame The Unvaccinated' For Pandemic Surge,POLITICS,Ed Mazza,2021-07-23,republicans
572,"Marjorie Taylor Greene Wants Chinese Booted For COVID, But Not A Peep About Unvaxxed",POLITICS,Mary Papenfuss,2021-07-23,rep
573,CDC Director Says Delta Variant Of COVID-19 Among ‘Most Transmissible’ Viruses Known,POLITICS,Nick Visser,2021-07-23,rep
574,Jill Biden’s 'United' Message To U.S. Olympians: We Are More Than Our Political Parties,POLITICS,Lee Moran,2021-07-23,biden
575,Biden Hopes For Full FDA Approval Of COVID-19 Vaccines ‘Soon’; Jabs For Kids May Follow,POLITICS,Nick Visser,2021-07-22,democrats
576,"Scabby The Rat, Union Protest Icon, Survives Legal Challenge From Trump Appointee",POLITICS,Dave Jamieson,2021-07-22,biden
577,More Than 8 Million Kids Could Get Subsidized Child Care Under Democratic Plan,POLITICS,Jonathan Cohn,2021-07-22,democrats
578,"Judge Blasts West Virginia, Says Trans Girl Allowed To Compete On Cross Country Team",POLITICS,Nick Visser,2021-07-22,court
579,Conservative Pundit S.E. Cupp Calls Out Republicans For Killing Their Own Voters,POLITICS,Ed Mazza,2021-07-22,republicans
580,Biden's DOJ Is Using A Ridiculous Argument To Defend A Controversial Trump-Era Arms Deal,POLITICS,Akbar Shahid Ahmed,2021-07-21,biden
581,Trump Told Tell-All Authors He Refused Masks In Order To Look Strong,POLITICS,Lee Moran,2021-07-21,trump
582,Chris Hayes Nails 'Cowardly' Fox News For Its Biggest Vaccine Hypocrisy Yet,POLITICS,Ed Mazza,2021-07-21,rep
583,Progressive Group Launches 6-Figure Super PAC To Boost Nina Turner,POLITICS,Daniel Marans,2021-07-20,democrats
584,Kevin McCarthy Trashed On Twitter For 'O.J. Simpson' Approach To Jan. 6 Probe,POLITICS,Ed Mazza,2021-07-20,rep
585,GOP Lawmaker's Tweet Suggests He's Mad That U.S. Intercepted Fentanyl At The Border,POLITICS,David Moye,2021-07-20,republicans
586,Leading Pediatrics Group Recommends All Kids Wear Masks In School This Fall,POLITICS,Nick Visser,2021-07-20,rep
587,Kevin McCarthy Chooses 5 House Republicans To Serve On Jan. 6 Committee,POLITICS,Sanjana Karanth,2021-07-20,republicans
588,"Regimes Used Israeli Firm NSO’s Spyware To Target Activists, Journalists: Investigation",POLITICS,Sanjana Karanth,2021-07-19,rep
589,Biden Continues Tradition Of Taking Credit For A Good Economy — Regardless Of The Cause,POLITICS,S.V. Date,2021-07-19,biden
590,The Fight For A Key Biden Health Care Policy Is Personal For This House Democrat,POLITICS,Jonathan Cohn,2021-07-19,democrats
591,Surgeon General Portends Return Of Mask Mandates Amid COVID-19 Surges,POLITICS,Nick Visser,2021-07-19,rep
592,"With Disasters Mounting By The Day, The U.S. May Finally Enact Real Climate Policy",POLITICS,Alexander C. Kaufman,2021-07-18,rep
593,Surgeon General: There's No Value In Locking Up People For Marijuana Use,POLITICS,Nina Golgowski,2021-07-18,rep
594,Trump Said He Thinks He Could Have Beaten George Washington In An Election,POLITICS,Mary Papenfuss,2021-07-18,trump
595,GOP Governor’s Vaccination Tour Reveals Depths Of Distrust,POLITICS,"Andrew DeMillo, Associated Press",2021-07-17,republicans
596,How Moderate Democrats Are Sabotaging Their Ideological Allies,POLITICS,Kevin Robillard,2021-07-17,democrats
597,Trump Says Gen. Mark Milley Should Be 'Impeached' Over Coup Fears,POLITICS,Mary Papenfuss,2021-07-17,trump
598,Democrats Reject Criticism Of Child Tax Credit Accessibility For The Poorest Americans,POLITICS,Tara Golshan,2021-07-16,democrats
599,Biden To Restore Protections For America’s Largest National Forest,POLITICS,Chris D'Angelo,2021-07-15,biden
600,"'I’m Here, Mom!': FBI Arrests Man Who Wore Roman Gladiator Costume To Capitol Riot",POLITICS,Ryan J. Reilly,2021-07-15,capitol
601,Unions Gave Money To GOP Lawmakers Who Voted To Overturn The Election,POLITICS,Dave Jamieson,2021-07-14,republicans
602,Democrats Are Throwing Their Whole Agenda Into This $3.5 Trillion Budget Proposal,POLITICS,Igor Bobic and Tara Golshan,2021-07-14,democrats
603,Mitch McConnell ‘Perplexed’ By COVID-19 Vaccine Resistance His Own Party Is Pushing,POLITICS,Igor Bobic,2021-07-13,republicans
604,Donald Trump Calls Jan. 6 Capitol Insurrectionists 'Great People',POLITICS,Igor Bobic,2021-07-12,trump
